gene	group
625	gbr.60.10	yellow
626	gbr.39.86	grey
627	gbr.121.5	brown
628	gbr.496.1	turquoise
629	gbr.50.88	grey
630	gbr.59.58	grey
631	gbr.10.122_gbr.10.123	grey
632	gbr.35.15	pink
633	gbr.99.90_gbr.99.91	yellow
634	gbr.21.62	blue
635	gbr.37.5	grey
636	gbr.12.94_gbr.12.95	turquoise
637	gbr.5.1	yellow
638	gbr.422.14	red
639	gbr.85.23	brown
640	gbr.124.67_gbr.124.68	grey
641	gbr.25.224	turquoise
642	gbr.62.16_gbr.62.18	grey
643	gbr.276.11	yellow
644	gbr.1.87_gbr.1.88	grey
645	gbr.260.19	grey
646	gbr.93.53	grey
647	gbr.58.172	brown
648	gbr.455.17	red
649	gbr.331.10	green
650	gbr.177.26_gbr.177.29	yellow
651	gbr.466.39	turquoise
652	gbr.49.13	pink
653	gbr.385.9	grey
654	gbr.272.18	grey
655	gbr.91.22_gbr.91.28	brown
656	gbr.491.8	grey
657	gbr.177.4	yellow
658	gbr.145.3	red
659	gbr.283.30	turquoise
660	gbr.71.8	turquoise
661	gbr.32.34	blue
662	gbr.99.32	yellow
663	gbr.19.113	blue
664	gbr.17.134	grey
665	gbr.5.90	red
666	gbr.3.145	yellow
667	gbr.55.20	grey
668	gbr.35.101	pink
669	gbr.16.62	green
670	gbr.552.2	blue
671	gbr.171.21_gbr.171.24	red
672	gbr.332.10	yellow
673	gbr.253.37	pink
674	gbr.11.122	green
675	gbr.2.153	pink
676	gbr.21.79	grey
677	gbr.23.47_gbr.23.43	turquoise
678	gbr.92.34	grey
679	gbr.225.27	tan
680	gbr.41.28	red
681	gbr.8.62	grey
682	gbr.446.10	red
683	gbr.116.10	grey
684	gbr.140.40	turquoise
685	gbr.299.4	grey
686	gbr.7.83_gbr.7.82	black
687	gbr.105.28_gbr.105.26	turquoise
688	gbr.119.9	red
689	gbr.35.42	brown
690	gbr.677.1	yellow
691	gbr.9.14	yellow
692	gbr.58.46	yellow
693	gbr.79.39	blue
694	gbr.10.110	brown
695	gbr.42.18	grey
696	gbr.317.8	grey
697	gbr.52.32	red
698	gbr.434.3	grey
699	gbr.30.18	green
700	gbr.17.28	yellow
