Sample:	Skf	Skm	Skw
gbr.418.10.t1_gbr.418.11.t1	50.6976539	66.18184823	43.95808856
gbr.78.51.t1	36.66528594	25.15458503	37.66044512
gbr.174.39.t1	41.41967987	53.50100584	51.25464377
gbr.90.93.t1	141.2761358	122.0086104	112.1794715
gbr.111.54.t1	25.61083168	40.60222848	33.59371772
gbr.29.37.t1	51.9314963	39.00744544	45.06517912
gbr.92.45.t1	6.215093438	10.66960006	16.1102099
gbr.124.63.t1	1.479927911	1.365056098	3.911802413
gbr.162.31.t1	767.5066315	729.7002104	1452.546172
gbr.130.4.t1	19.52032533	19.54903827	23.4223735
gbr.81.141.t1	53.53412649	46.33932384	56.63221892
gbr.143.12.t1	66.90946598	46.28244027	82.41293613
gbr.183.19.t1	0.884079945	0.355313202	4.26292555
gbr.81.43.t1	18705.14042	18574.45723	17622.16588
gbr.40.114.t1	65.26578494	47.98441006	79.90687102
gbr.262.1.t1	59.75526949	64.99470882	56.38903522
gbr.384.6.t1	147.4173391	158.6747706	165.5855016
gbr.24.13.t1	37.542818	43.58288553	45.82241654
gbr.380.13.t1_gbr.380.11.t1	38.71123453	51.36784841	43.25062948
gbr.459.4.t1	78.10348115	61.78958009	90.43124971
gbr.25.185.t1	211.9812543	284.497258	288.165593
gbr.388.26.t1	10.81885796	11.35211692	17.4820955
gbr.72.97.t1	75.59158924	63.00353084	81.15572411
gbr.37.111.t1	278.856602	242.7082412	270.7508919
gbr.18.18.t1	2.771065244	3.913607622	4.700246145
gbr.508.2.t1	1.21947076	1.102195355	2.253354389
gbr.314.33.t1	55.97198848	54.62736855	59.95857314
gbr.43.63.t1	50.04363683	32.71181858	50.42644708
gbr.253.11.t1	9.512345317	11.36845549	10.79886584
gbr.105.12.t1	35.43589721	37.53564515	65.2250247
gbr.4.56.t1_gbr.4.57.t1	14.34726444	13.50735164	13.20519784
gbr.270.18.t1	61.06872021	60.37772226	70.0522178
gbr.1.66.t1	66.62418802	61.37218337	64.1380754
gbr.139.43.t1	5.469234295	5.605543751	24.81333511
gbr.151.45.t1_gbr.151.46.t1	565.1418357	539.3735647	1059.455581
gbr.58.5.t1	104.0618605	115.8015799	139.5440548
gbr.309.7.t1	412.148116	408.5021066	470.6759485
gbr.41.20.t1	5169.158911	8213.039891	4338.987597
gbr.8.5.t1	24.69173737	36.59717405	33.19244175
gbr.155.19.t1	51.28706796	62.78808775	48.86466239
gbr.296.23.t1	1.215391349	0.734068135	0.964932389
gbr.286.7.t1	82.85738139	85.22445072	94.18779781
gbr.11.177.t1	20.73328336	22.84998009	18.92661502
gbr.363.1.t1	0.861248364	0.103853661	0.561136352
gbr.308.18.t1	66.24682172	67.81770839	64.1952087
gbr.457.5.t1_gbr.457.6.t1	258.8529981	240.5545006	301.990155
gbr.154.17.t1	97.2201783	94.93464568	113.8752909
gbr.162.11.t1	18.65046361	22.16719793	16.63164356
gbr.18.7.t1	210.1319771	266.4805454	185.4093435
gbr.25.187.t1	617.0129359	554.9477833	755.6700615
gbr.379.18.t1	154.1101548	152.8301549	142.9819554
gbr.59.23.t1	1.145254512	6.560601599	17.69167751
gbr.37.124.t1	134.5070949	104.0298193	175.4757573
gbr.60.92.t1	28.47101666	35.82323459	23.19068338
gbr.124.54.t1	53.83703458	65.31435863	64.03839862
gbr.47.76.t1	1350.76514	1518.350787	1700.450568
gbr.102.53.t1	8.58508893	14.1167721	5.899847938
gbr.167.58.t1	51.70826101	59.26118401	56.72679143
gbr.90.88.t1	63.97949635	123.7594433	85.23843625
gbr.53.86.t1	56.97404171	56.57346313	64.28784932
gbr.627.4.t1_gbr.627.5.t1	28.79062474	37.39929896	41.46563608
gbr.324.9.t1	1.915377744	1.44528018	6.917794416
gbr.425.3.t1	398.1493465	429.1759097	340.3163614
gbr.272.14.t1	28.52629856	27.74683918	36.21541494
gbr.18.41.t1	56.61187556	62.0826063	75.23939557
gbr.36.47.t1	40.01709226	46.93965508	47.45218716
gbr.53.123.t1	12.62160138	11.32898584	25.04321534
gbr.76.61.t1	8.300601532	3.963676071	6.624573581
gbr.157.18.t1	29.45405608	38.55041475	42.17675723
gbr.286.17.t1	126.7863226	114.5481754	131.9948264
gbr.25.161.t1	41.64973017	56.00837448	53.62296189
gbr.236.8.t1	5343.600357	4567.955445	9308.063288
gbr.35.71.t1	95.9673088	92.59280628	130.4318781
gbr.97.51.t1	136.459332	162.2163836	221.9948141
gbr.165.18.t1	17.4364564	12.1986907	19.52755191
gbr.332.8.t1	0.584935168	0.838154387	1.419353575
gbr.117.35.t1	26.80350299	27.191305	33.13541602
gbr.326.13.t1	49.33733996	40.52119034	47.96632002
gbr.140.46.t1	45.90161391	45.48919405	74.0626426
gbr.72.112.t1	54.55054173	47.92682001	52.07809815
gbr.36.46.t1	795.37875	881.5939513	915.7156708
gbr.253.23.t1	141.6554354	104.2285264	177.4381353
gbr.424.8.t1	71.59356131	72.59101059	124.9812692
gbr.111.56.t1	142.9119223	204.78496	197.6519056
gbr.208.35.t1	20.42056118	13.24090576	19.24071448
gbr.180.27.t1	60.40701911	60.434629	77.47538496
gbr.14.66.t1	62.58383707	49.85457751	78.22418425
gbr.49.7.t1	228.3999321	251.3071791	327.5354843
gbr.2.61.t1	495.2519684	635.5813228	617.8801916
gbr.84.5.t1	37.82359751	39.3272395	54.27629533
gbr.170.8.t1	5.883988877	5.575855162	5.287660104
gbr.35.84.t1	47.06818835	35.92239427	35.78452435
gbr.176.4.t1	35.5416676	31.70864213	41.15274834
gbr.627.2.t1	2.21234296	0.550599289	4.703508916
gbr.2.20.t1	46.90694719	63.45427811	51.53948371
gbr.34.22.t1	87.38205575	73.58081916	68.9814975
gbr.209.7.t1	122.6530278	165.5036917	120.9485753
gbr.216.39.t1	213.5028278	258.8382368	245.2810937
