Sample:	Cof	Com	Cow
gbr.210.26.t1	48.71018891	36.82725264	29.94279242
gbr.29.11.t1	15.09122379	2.318194235	2.293983578
gbr.74.35.t1	1.739088625	0.736783281	0.182827224
gbr.271.17.t1	34810.92912	15357.12904	1048.268134
gbr.2.24.t1	235.6115839	134.7796046	85.04469504
gbr.46.47.t1	14.79183694	5.180848106	0.30085729
gbr.79.46.t1	4.732714271	5.505048074	4.9611802
gbr.225.23.t1	2.929982155	0	0.071206098
gbr.196.40.t1	9.960684577	7.163416731	18.21997956
gbr.219.16.t1	5.111685145	4.332883074	1.657994656
gbr.171.1.t1	40.56339271	9.209316158	2.98394668
gbr.98.84.t1	37.78021123	24.7301158	7.733393409
gbr.1049.2.t1	3.632126604	1.23984994	6.065985241
gbr.225.30.t1	10.58097471	3.593755786	1.18401131
gbr.110.67.t1	25.64726096	9.644818071	1.876763421
gbr.130.28.t1	68.89529457	46.99507908	8.045422886
gbr.356.11.t1	14.71715548	15.55475907	6.788855865
gbr.423.6.t1	0.842723442	0.758793887	0.43382141
gbr.4.9.t1	6.075410971	3.182862149	2.063005524
gbr.57.45.t1	23.78267772	8.849066818	4.560395874
gbr.152.16.t1	10133.77744	3584.483011	235.0681796
gbr.12.122.t1	8650.52286	6481.19465	1341.042299
gbr.59.68.t1	494.3858944	220.6332405	67.71093381
gbr.157.27.t1	41.47916454	2.951415033	7.278685246
gbr.5.114.t1	13.56332487	4.937042264	0.788669911
gbr.304.9.t1	1218.198619	586.0210118	94.59098712
gbr.174.21.t1	1.580473877	1.181059465	1.353045901
gbr.82.27.t1	339.0714248	231.151075	104.0104193
gbr.104.23.t1	1194.017693	407.7926901	70.70179541
gbr.188.38.t1	3.846037669	1.022745576	1.437490742
gbr.43.22.t1	27.08566426	17.92130072	13.44719904
gbr.2.237.t1	14.57665126	1.333122532	5.306832179
gbr.106.26.t1	2.476698608	0.874844074	0
gbr.44.59.t1	11.65997462	6.265640393	3.026128679
gbr.76.98.t1	18.89804117	15.26469927	8.654203227
gbr.2.172.t1	1381.967498	723.0132941	232.8816777
gbr.75.76.t1	1.52896196	0.378622744	0.215321317
gbr.217.31.t1_gbr.217.33.t1_gbr.217.34.t1	2.193218941	1.186628062	1.318298465
gbr.15.99.t1	1.781003997	0.611055187	0.596472336
gbr.2.184.t1	0.504035622	0.124534237	0.032210608
gbr.12.121.t1	15.00099299	4.890374738	0
gbr.253.36.t1	37.49136165	8.168108032	0.294990351
gbr.356.3.t1	4.314446008	0.996436896	0.181765854
gbr.3.43.t1	132.8801447	73.98954562	45.04656762
gbr.485.3.t1	4.193938486	2.104444372	2.219066722
gbr.191.45.t1	2.258973353	0.840012588	0.258900684
gbr.17.50.t1	5.421988744	5.696587247	5.687088096
gbr.73.36.t1	4.612011244	2.111340251	2.577242533
gbr.119.30.t1	1.697668829	1.108696675	1.908836148
gbr.1.150.t1	10894.9274	5144.992283	333.7088372
gbr.149.50.t1	8.756107215	2.843524458	0.28802851
gbr.213.20.t1	9.315045641	3.736477453	3.021632722
gbr.56.83.t1	0	0	0
gbr.189.13.t1	131.7639421	99.13601561	41.12953262
gbr.155.3.t1	18.60344879	17.06352343	14.66090495
gbr.31.10.t1	7.246735032	4.080809229	1.395511124
gbr.177.20.t1	55.72780419	35.91719789	16.80172338
gbr.48.13.t1	73.02289621	51.62886217	22.13332652
gbr.21.6.t1	57.84268361	25.94689044	6.631071691
gbr.44.103.t1	3.100312148	0.437199114	1.161793021
gbr.9.10.t1	10.04987882	8.402300784	6.285103615
gbr.383.1.t1	71.95820066	68.41263632	39.59737308
gbr.173.25.t1	47.90001639	19.98714045	8.977996842
gbr.48.32.t1	119.6937664	87.30604285	53.04556249
gbr.30.39.t1	2.322107465	0.525317713	0.687837867
gbr.570.2.t1	3.980017058	1.585072012	2.857862895
gbr.76.104.t1	7.748174973	3.206056749	0.772417005
gbr.76.105.t1	86.07848748	13.29567357	0.416538598
gbr.90.40.t1	343.2017177	187.5748938	93.35741474
gbr.239.23.t1	4.130618082	1.631117787	3.05183185
gbr.340.13.t1	0.372701295	0.38676664	0.367791775
gbr.157.28.t1	14.1249893	4.86574605	3.175629955
gbr.23.8.t1	1941.133883	761.2172222	168.7416309
gbr.271.11.t1	2.246500663	1.07728784	0.945537717
gbr.24.26.t1	3.331718388	1.200672493	0.850879814
gbr.896.2.t1	26.03412931	14.45414381	26.68825298
gbr.391.15.t1	7.059400931	3.076860134	0.36013125
gbr.83.29.t1	12.2784942	5.592166433	2.35305207
gbr.106.41.t1	135.8179307	41.52984037	0.838754191
gbr.221.74.t1	5.614907761	2.398720793	0.170208914
gbr.319.26.t1	6.962663706	5.789064942	6.782166059
gbr.110.6.t1	13.6800651	1.352660644	1.587832409
gbr.265.24.t1	847.0423167	658.2454154	425.9119507
gbr.1.189.t1	5.603592621	3.704461317	3.25264658
gbr.25.124.t1	246.066886	203.4620243	26.8044759
gbr.157.8.t1	64.18993457	45.42651157	18.80657039
gbr.29.32.t1	0.603085279	0.561412407	0.523097679
gbr.142.75.t1	9.145732389	3.221332764	0.256642998
gbr.490.1.t1_gbr.490.3.t1	1.197191197	0.580137948	0.214148194
gbr.335.6.t1	102.1103738	61.30915745	166.460465
gbr.98.20.t1	8.136424786	5.534856084	3.431352375
gbr.422.16.t1	7.199773198	1.88788628	2.713303461
gbr.296.20.t1	29.4376582	27.73076346	13.01664612
gbr.66.34.t1	4.754245389	2.534331011	1.961055065
gbr.120.36.t1	0.097162317	0.15305393	0.067571309
gbr.180.28.t1	0.908466964	0.355550817	0.467076293
gbr.24.23.t1	1.300514646	1.476743899	0.571868036
gbr.285.1.t1	3.313441135	2.780370881	2.11196059
gbr.17.134.t1	42.14361325	35.07492057	25.29351089
gbr.37.40.t1	0.13938973	0.031029515	0
gbr.157.46.t1	286.6072934	167.0666154	84.54788806
gbr.169.21.t1	15.37349897	8.160160923	9.617840708
gbr.272.18.t1	35.4598117	32.18029839	24.03834806
gbr.142.42.t1	64.74988004	13.31400874	19.392822
gbr.232.1.t1	4.866683417	1.784657556	1.643289961
gbr.271.27.t1	0.44705496	0.135516675	0.342787856
gbr.321.5.t1	0.140178888	0.108239508	0.092931747
gbr.185.26.t1	13.82517829	11.11930909	9.630662355
gbr.28.52.t1	6.845165677	2.34409943	2.166609725
gbr.237.23.t1	2.165696905	0.41211281	2.1488916
gbr.76.36.t1	5.482041547	2.978965256	2.461770066
gbr.128.47.t1	1.733687631	1.403097527	0.168490798
gbr.58.104.t1	5.744405467	1.29997954	5.20858231
gbr.154.22.t1	315.5602598	355.6890935	250.018172
gbr.4.26.t1	0.878872204	1.807292104	0.160927511
gbr.10.104.t1	8.229596547	0.759703368	0.690120384
gbr.658.2.t1	143.5376292	175.0395883	75.66004973
gbr.246.10.t1	0.447632074	0.35694357	0
gbr.28.66.t1	19.7122648	5.690480988	3.195167783
gbr.567.17.t1	1.092794764	0.528968221	0.077779602
gbr.14.136.t1	1.593677394	1.265492671	1.57335037
gbr.55.62.t1_gbr.55.63.t1	5.448367337	5.261670806	4.547975675
gbr.37.9.t1	2.869013796	1.082196198	0.234912852
gbr.60.74.t1	7.004113535	4.256151585	2.437419394
gbr.44.19.t1	6.078127761	2.884955031	2.062688364
gbr.71.22.t1	1.529153029	0.733335381	0.131797461
gbr.9.4.t1	15.68117829	13.76274577	2.885446036
gbr.43.60.t1	3.370476903	1.773823541	1.037573735
gbr.142.68.t1	7.969036614	1.682728207	1.667700892
gbr.76.66.t1	1.980345768	1.543609855	1.667353537
gbr.11.115.t1	134.51146	149.4110359	97.13484366
gbr.10.31.t1	7.544568735	6.550990393	1.979190911
gbr.358.28.t1	2.555600119	0.850813281	2.584255124
