Sample:	Paf	Pam	Paw
gbr.512.18.t1	10.63367584	10.52583197	9.044048467
gbr.53.29.t1_gbr.53.30.t1	24.16572155	25.54529727	21.20942504
gbr.23.57.t1	10.41609269	11.69781746	8.612323834
gbr.4.28.t1_gbr.4.27.t1	13.67411371	15.14448737	13.03632374
gbr.163.49.t1	8.95145079	12.67937585	6.874008668
gbr.35.50.t1	24.51343725	25.3124174	21.2002646
gbr.58.64.t1	65.53580813	69.90738086	69.27220757
gbr.94.50.t1	214.0448009	227.0337692	198.037968
gbr.194.38.t1	5.252117785	6.363308739	6.028372748
gbr.30.15.t1	3.575230452	6.873356216	3.288551252
gbr.696.4.t1	510.1071446	842.7108784	267.0409236
gbr.176.12.t1_gbr.176.13.t1	20.19124421	21.52245693	16.94789051
gbr.14.116.t1	841.2789567	832.0189376	636.0660643
gbr.149.12.t1	6.919295948	9.488870502	7.581437323
gbr.291.1.t1	69.91694197	72.83947574	57.15884287
gbr.515.6.t1	9.180365293	10.1917504	8.703213341
gbr.64.89.t1_gbr.64.88.t1	9.98652687	8.525312783	7.553924216
gbr.33.32.t1	42.8862718	48.1440393	37.67120296
gbr.134.38.t1	45.04526776	50.128905	43.02586821
gbr.62.31.t1	5.439433267	6.111098544	5.180129474
gbr.513.23.t1	28.5127151	32.58703242	32.47216005
gbr.8.72.t1	73.08810139	74.92776518	57.33701123
gbr.595.5.t1	45.57797967	51.20037506	31.51142448
gbr.2.126.t1	5.800823013	5.535430002	3.372793619
gbr.31.52.t1	6.287115616	4.744688223	3.792561753
gbr.147.33.t1	25.77757348	36.90335031	19.51620915
gbr.35.104.t1	48.64739725	45.2023509	49.60385785
gbr.149.27.t1	14.89374283	14.22402146	11.85161366
gbr.19.195.t1	72.16810816	58.94586708	58.68032769
gbr.304.13.t1	2.806237581	2.044995556	1.39748595
gbr.254.2.t1	29.31197991	28.19911067	25.0157424
gbr.52.71.t1_gbr.52.72.t1	7.048969118	8.277813645	6.190453527
gbr.119.25.t1	155.9702455	130.0880895	166.2952984
gbr.108.26.t1_gbr.108.27.t1	15.32197284	12.95132301	8.482348325
gbr.7.84.t1	66.38937123	61.88395077	56.75553668
gbr.132.7.t1_gbr.132.8.t1	3.546204618	3.476281187	2.883430346
gbr.29.59.t1	17.75705791	24.10128034	18.3125056
gbr.480.11.t1	682.4088882	954.9381722	232.1347116
gbr.262.3.t1	13.91612983	16.50043964	11.35987979
gbr.114.3.t1	19.61545436	18.2319832	16.78780175
gbr.76.113.t1	2.146193176	0.709078695	3.164562503
gbr.111.14.t1_gbr.111.16.t1	16.10626529	17.20198824	12.40737793
gbr.232.16.t1	7.954767891	8.421522728	6.407798135
gbr.364.19.t1_gbr.364.18.t1	0.369348288	0.185058072	0.142508779
